,choice,alt,time,fare,age,number_own_cars,chid,idx.chid,idx.alt
115,TRUE,1,0.923,8.2,0,0,39,39,1
116,FALSE,2,1.7,22.6589,1,0,39,39,2
117,FALSE,3,0.9532,4.9561,0,1,39,39,3
118,TRUE,1,0.99,9.5,0,0,40,40,1
119,FALSE,2,2.125,23.74,1,0,40,40,2
120,FALSE,3,1.0179,5.3435,0,1,40,40,3
121,TRUE,1,1.007,9.5,0,0,41,41,1
122,FALSE,2,2.261,25.1528,1,0,41,41,2
123,FALSE,3,0.9995,5.243,0,1,41,41,3
124,TRUE,1,0.508,6.5,0,0,42,42,1
125,FALSE,2,1.406,18.7717,1,0,42,42,2
126,FALSE,3,0.7809,4.0398,0,1,42,42,3
127,TRUE,1,0.498,4.55,0,0,43,43,1
128,FALSE,2,1.061,10.1,1,0,43,43,2
129,FALSE,3,0.3109,3.5185,0,1,43,43,3
130,TRUE,1,0.923,8.2,0,0,44,44,1
131,FALSE,2,2.768,30.5528,1,0,44,44,2
132,FALSE,3,0.9532,4.9561,0,1,44,44,3
133,TRUE,1,0.508,6.5,0,0,45,45,1
134,FALSE,2,1.703,18.7311,1,0,45,45,2
135,FALSE,3,0.7809,4.0398,0,1,45,45,3
136,TRUE,1,0.408,3.32,0,0,46,46,1
137,FALSE,2,0.851,5.9,1,0,46,46,2
138,FALSE,3,0.254,1.2442,0,1,46,46,3
139,TRUE,1,0.592,2.3,0,0,47,47,1
140,FALSE,2,0.991,7.5,1,0,47,47,2
141,FALSE,3,0.2566,1.2891,0,1,47,47,3
142,TRUE,1,0.99,9.5,0,0,48,48,1
143,FALSE,2,2.146,24.7311,1,0,48,48,2
144,FALSE,3,1.0179,5.3435,0,1,48,48,3
145,TRUE,1,0.526,4,0,0,49,49,1
146,FALSE,2,1.108,10.4,1,0,49,49,2
147,FALSE,3,0.3109,3.5185,0,1,49,49,3
148,TRUE,1,0.253,1.9,0,0,50,50,1
149,FALSE,2,0.68,4.5,1,0,50,50,2
150,FALSE,3,0.1507,0.6751,0,1,50,50,3
151,TRUE,1,0.36,3.12,0,0,51,51,1
152,FALSE,2,0.563,3.6,1,0,51,51,2
153,FALSE,3,0.0885,0.3154,0,1,51,51,3
154,TRUE,1,0.331,1.9,0,0,52,52,1
155,FALSE,2,1.054,6.6,1,0,52,52,2
156,FALSE,3,0.2388,1.1102,0,1,52,52,3
157,TRUE,1,0.331,1.9,0,0,53,53,1
158,FALSE,2,1.054,6.6,1,0,53,53,2
159,FALSE,3,0.2388,1.1102,0,1,53,53,3
160,TRUE,1,0.36,3.12,0,0,54,54,1
161,FALSE,2,0.418,2.1,1,0,54,54,2
162,FALSE,3,0.0885,0.3154,0,1,54,54,3
163,TRUE,1,0.245,1.4,0,0,55,55,1
164,FALSE,2,0.443,2.9,1,0,55,55,2
165,FALSE,3,0.1245,0.4926,0,1,55,55,3
166,TRUE,1,0.6,3.2,0,0,56,56,1
167,FALSE,2,0.799,8.4,1,0,56,56,2
168,FALSE,3,0.2917,1.474,0,1,56,56,3
169,TRUE,1,0.253,1.9,0,0,57,57,1
170,FALSE,2,0.682,4.6,1,0,57,57,2
171,FALSE,3,0.1507,0.6751,0,1,57,57,3
172,TRUE,1,1.007,9.5,0,0,58,58,1
173,FALSE,2,2.312,25.2661,1,0,58,58,2
174,FALSE,3,0.9995,5.243,0,1,58,58,3
175,TRUE,1,0.592,2.3,0,0,59,59,1
176,FALSE,2,0.939,8.3,1,0,59,59,2
177,FALSE,3,0.2566,1.2891,0,1,59,59,3
178,TRUE,1,0.6,3.2,0,0,60,60,1
179,FALSE,2,0.783,7.2,1,0,60,60,2
180,FALSE,3,0.2917,1.474,0,1,60,60,3
181,TRUE,1,0.472,3.55,0,0,61,61,1
182,FALSE,2,0.849,5.9,1,0,61,61,2
183,FALSE,3,0.254,1.2442,0,1,61,61,3
184,TRUE,1,0.507,1.9,0,0,62,62,1
185,FALSE,2,1,1.7,1,0,62,62,2
186,FALSE,3,0.1908,0.7399,0,1,62,62,3
187,TRUE,1,0.507,1.9,0,0,63,63,1
188,FALSE,2,0.745,1.7,1,0,63,63,2
189,FALSE,3,0.1908,0.7399,0,1,63,63,3
190,TRUE,1,0.331,1.9,0,0,64,64,1
191,FALSE,2,0.782,6.6,1,0,64,64,2
192,FALSE,3,0.2388,1.1102,0,1,64,64,3
193,TRUE,1,0.331,1.9,0,0,65,65,1
194,FALSE,2,0.782,6.6,1,0,65,65,2
195,FALSE,3,0.2388,1.1102,0,1,65,65,3
